Name of Organization,Organization Address: Address Line 1,Organization Address: City,Organization Address: State,Organization Address: Zip/Postal Code,Business Phone No,Webpage,Name of Point of Contact,Position/Title,Business Email Address,Type of Organization,(For ISP only) Do you have a low-cost home internet service offer or subsidy?,4. What digital inclusion service(s) does your entity/organization provide to individuals? Please select all that apply.,5. What is your entity/organization's service area?,6. Please indicate all the counties in which you provide services.,7. Please indicate all the cities in which you provide services,8. How does your entity/organization provide its services? Select all that apply. ,Please provide the website URL where more information about your virtual program / service can be found.,Name of physical location where services are provided.,What is the physical location address where your entity/organization provides in-person services?,Phone Number,Hours of Operation,Program/Service Webpage,Name of physical location where services are provided..1,What is the physical location address where your entity/organization provides in-person services?.1,Phone Number.1,Hours of Operation.1,Program/Service Webpage.1,Name of physical location where services are provided..2,What is the physical location address where your entity/organization provides in-person services?.2,Phone Number.2,Hours of Operation.2,Program/Service Webpage.2,Name of physical location where services are provided..3,What is the physical location address where your entity/organization provides in-person services?.3,Phone Number.3,Hours of Operation.3,Program/Service Webpage.3,Name of physical location where services are provided..4,What is the physical location address where your entity/organization provides in-person services?.4,Phone Number.4,Hours of Operation.4,Program/Service Webpage.4,9. Does your entity/organization charge for its services?,10. To which of the following are your service available?,11. What language(s) does your entity/organization provide its services in? Please select all that apply. ,12. Does your entity/organization provide any of the following supports or services to other organizations? Please select all that apply.,13. Does your entity/organization charge for its services?,Date Submitted
Ventura County Library,5600 Everglades St.,Ventura,CA,93003,'+18057013242,https://www.library.venturacounty.gov,Amanda Armitage,Technology Engagement Manager,amanda.armitage@venturacounty.gov,"Library, County Government",,"Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,Ventura,,In-Person,,https://www.library.venturacounty.gov/use-library/locations-hours,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Information sharing",No. Our services are offered free of cost.,12/4/25 12:58
Partnership Health Plan of California (Managed Care Organization),4665 Business Center Dr,Fairfield,CA,94534,'+18008634155,https://www.partnershiphp.org/Pages/PHC.aspx,Mohamed Jalloh,Health Equity Officer,mjalloh@partnershiphp.org,"Other, Other, Other, Managed Care Organization",,"Locating low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training",,"Butte, Colusa, Del Norte, Glenn, Humboldt, Lake, Lassen, Marin, Mendocino, Modoc, Napa, Nevada, Placer, Plumas, Shasta, Sierra, Siskiyou, Solano, Sonoma, Sutter, Tehama, Trinity, Yolo, Yuba",,In-Person,,Red Bluff Community Center (Single Event at Tehama Health and Digital Access Fair),"1500 S Jackson St, Red Bluff, CA, 96080.0, US",'+15305278177,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities, Managed Care Organization","English, Spanish, Tagalog, Russian, Punjabi","Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,12/3/25 18:04
Senior Planet from AARP,"236 West 30th Street, Floor 8",New York,NY,10001,'+18887133495,https://www.seniorplanet.org,Ryan Kawamoto,Regional Program Manager,rkawamoto@oats.org,Community-based Organization / Non-profit (501c3),,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Online educational resources, Workforce development resources",,,,"Virtually, In-Person",https://www.seniorplanet.org,https://oats.org/licensing/,,,,https://oats.org/licensing/,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Mandarin, Vietnamese","Train-the-trainer, Partnership opportunities",No. Our services are offered free of cost.,12/3/25 10:52
Riverside County Library System,5840 Mission Blvd,Jurupa Valley,CA,92509,'+19513963003,https://www.rivlib.net,Sue Duran,Deputy Director,sue.duran@lsslibraries.com,"Library, Other, Other, Other, We are a non-profit library system. The library system is managed by a private company, but it falls under the Economic Development Department of the Riverside County Library System. .",,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,"Imperial, Riverside, San Bernardino",,"Virtually, In-Person",https://www.rivlib.net,Louis Robidoux Library,"5840 Mission Blvd., Jurupa Valley, CA, 92509.0, US",'+19516825485,Sunday: 1:00 pm-5:00 pm Monday: 11:00 am-7:00 pm Tuesday: 11:00 am-7:00 pm Wednesday: 11:00 am-7:00 pm Thursday: 10:00 am-6:00 pm Friday: 10:00 am-6:00 pm Saturday: 10:00 am-6:00 pm,https://rivlib.net/branch/louis-robidoux,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities, We are a non-profit library system. The library system is managed by a private company, but it falls under the Economic Development Department of the Riverside County Library System. .","English, Spanish, Russian","Digital equity grant writing, Organizational training, Partnership opportunities, Information sharing, Other, Most branches have community rooms or meeting spaces so that patrons can use for any of the above necessities.",No. Our services are offered free of cost.,12/1/25 15:04
California Emerging Technology Foundation (CETF),714 West Olympic Boulevard,Los Angeles,CA,90015-4133,'+12134439952,https://www.cetfund.org/,Kat Zigmont,Senior Vice President,kat.zigmont@cetfund.org,Community-based Organization / Non-profit (501c3),,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Online educational resources, Workforce development resources",,,,Virtually,https://getconnected.digitallearn.org/,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Mandarin, Vietnamese, Korean, Cantonese, Farsi, Arabic","Digital equity grant writing, Organizational training, Train-the-trainer, Mutual aid (financial), Partnership opportunities, Collective action, Information sharing, Other, The CETF Digital Equity Ecosystem can accommodate CBOs, non-profit organizations, and public agencies of all kinds and sizes—small or big, experienced or beginners—to incorporate Digital Inclusion into their existing operations where an established relationship exists. •Direct Notification to Drive Enrollment in Affordable Internet Service •Call Center to Enroll Households by CBOs In-Language and In-Culture •Recruitment and Training of Digital Navigators •Outreach In-Language and In-Culture by CBO Trusted Messengers •Digital Literacy Training by CBO Digital Navigators (Synchronous) with Proficiency Assessment •Online Digital Literacy Resources (Asynchronous) with Proficiency Assessment •Affordable Computing Devices •In-Person Enrollment Events •Public Awareness Advertising •Tech Support •Grant Management •Evaluation",No. Our services are offered free of cost.,12/1/25 14:07
Hemet Public Library,300 E Latham Ave,"Hemet, CA 92543",CA,92543,'+19517652447,https://www.hemetca.gov/library,Kathye Caines,Library Manager,kcaines@hemetca.gov,"Library, City Government, Regional Broadband Consortia",,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s), Online educational resources",,Riverside,Hemet (Riverside County.),"Virtually, In-Person",https://www.hemetca.gov/library,Hemet Public Library,"300 E Latham Ave, Hemet, CA 92543, Hemet, CA, 92543.0, US",'+19517652440,,https://www.hemetca.gov/library,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Information sharing",No. Our services are offered free of cost.,12/1/25 12:36
Sonoma County Library,6135 State Farm Drive,Rohnert Park,CA,94928,'+17075450831,https://sonomalibrary.org/,Mike Dawe,IT Manager,mdawe@sonomalibrary.org,"Library, Special District",,"Locating low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,Sonoma,,"Virtually, In-Person",https://sonomalibrary.org/,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities, Other","English, Spanish","Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,11/26/25 8:31
"Glendale Library, Arts & Culture",222 E. Harvard St.,Glendale,CA,91205,'+18185482030,https://www.glendaleca.gov/government/departments/library-arts-culture,Lessa Pelayo-Lozada,Director,lpelayolozada@glendaleca.gov,"Library, City Government",,"Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,Los Angeles,Glendale (Los Angeles County.),"Virtually, In-Person",https://lpelayolozada@glendaleca.gov,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Korean, Armenian",Partnership opportunities,No. Our services are offered free of cost.,11/26/25 8:15
Easterseals Southern California,1063 McGaw Ave,Irvine,CA,92614,'+17148341111,https://socal.easterseals.com/,Reese Peterson,Director,reese.peterson@essc.org,"Community-based Organization / Non-profit (501c3), Other, Other, Nonprofit Non-governmental organization (NGO)",,"Locating low-cost internet service programs, Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots",,"Imperial, Kern, Los Angeles, Orange, Riverside, San Bernardino, San Diego, San Luis Obispo, Santa Barbara, Ventura",,"Virtually, In-Person",https://socal.easterseals.com/get-support/areas-of-support/adult-day-services/virtual-community-remote-services,Easterseals Southern California,"1063 McGaw Ave, Irvine, CA, 92614.0, US",'+17148341111,9:00 a.m. - 4:30 p.m.,,,,,,,,,,,,,,,,,,,,,,Yes. We charge a fee for our services and it’s more than $25.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities, Nonprofit Non-governmental organization (NGO)","English, Spanish","Partnership opportunities, Collective action",Yes. We charge a fee for our services.,11/25/25 13:55
California State Library,Library Development Services,Sacramento,CA,95814,'+19166036713,https://library.ca.gov,Josh Chisom,Broadband Programs Manager,josh.chisom@library.ca.gov,"Library, State Government",,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,,,"Virtually, In-Person",https://www.library.ca.gov/services/digital-concierge/,CA,"California State Library, 900 N Street, Sacramento, CA, 95814.0, US",'+19163239843,"Tuesday–Thursday, 9:30 am – 4:00 pm",https://www.library.ca.gov/contact-us/,Stanley Mosk Library & Courts Building,"914 Capitol Mall, Sacramento, CA, 95814.0, US",'+19166037217,"Monday–Friday, 9:30 am – 4:00 pm",https://www.library.ca.gov/contact-us/,Sutro Library,"J. Paul Leonard Library 5th Floor, 1630 Holloway Avenue, San Francisco, CA, 94132.0, US",,"Tuesday-Thursday, 10:00 am – 4:00pm; closed for lunch 12:30pm – 1:30pm",https://www.library.ca.gov/sutro/,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Organizational training, Partnership opportunities, Information sharing, Other, The State Library has offered digital navigator programs. We also award grants (funded by IMLS and/or the CA State Legislature) that allow local libraries across California to provide support to all Californians in areas including digital literacy, digital navigation, etc.",No. Our services are offered free of cost.,11/25/25 11:01
Palm Desert Library,73300 Fred Waring Drive,Palm Desert,CA,92260,'+17603466552,https://www.palmdeserylibrary.org,Shannon Vonnegut,Director of Library Services,svonnegut@palmdesert.gov,"Library, City Government",,"Digital literacy & skills training, Public Wi-Fi, Online educational resources",,Riverside,Palm Desert (Riverside County.),In-Person,,Palm Desert Library,"73300 Fred Waring Drive, Palm Desert, CA, 92260.0, US",'+17603466552,"M-W 10-8, Th-Sat 10-6, Sun 1-5",https://www.palmdesert.org,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",English,,No. Our services are offered free of cost.,11/25/25 10:08
Mattole Valley Resource Center,PO Box 191,Petrolia,CA,95558,'+17076293348,https://mattolevalleyresourcecenter.org,Emily Herman,Executive Director,emilymvrc@gmail.com,Community-based Organization / Non-profit (501c3),,"Digital literacy & skills training, Free/Low-cost hotspots, Public Wi-Fi, Workforce development resources",,,,In-Person,,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities, Other","English, Other, We serve 2 communities, totaling approximately 600 people in a VERY rural and remote area.","Partnership opportunities, Information sharing",No. Our services are offered free of cost.,11/24/25 17:06
Human-I-T,4941 Eastern Ave,Bell,CA,90291,'+18882683921,https://human-i-t.org,Adam Sharma,"VP, Strategic Partnerships",info@human-i-t.org,Community-based Organization / Non-profit (501c3),,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Online educational resources, Workforce development resources",,,,Virtually,https://www.human-i-t.org/get-connected/,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities, Other","English, Spanish, Other","Train-the-trainer, Partnership opportunities, Collective action, Information sharing, Other, some services are no-cost, others are low-cost.",No. Our services are offered free of cost.,11/24/25 12:31
North State Planning and Development Collective,35 Main Street,Chico,CA,95928,'+15308984372,https://nspdc.chico.edu,Jason Schwenkler,Executive Director,jschwenkler@csuchico.edu,"Community-based Organization / Non-profit (501c3), Regional Broadband Consortia",,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,"Butte, Colusa, Glenn, Lake, Lassen, Modoc, Plumas, Shasta, Siskiyou, Tehama",,Virtually,,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities, Other",English,Partnership opportunities,No. Our services are offered free of cost.,11/24/25 12:09
El Segundo Public Library,111 W. Mariposa Avenue,El Segundo,CA,90245,'+13105242722,https://www.elsegundolibrary.org,Mark Herbert,Library Manager,refdesk@elsegundo.org,"Library, City Government",,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Online educational resources, Workforce development resources",,Los Angeles,El Segundo (Los Angeles County.),In-Person,,El Segundo Public Library,"111 W. Mariposa Avenue, El Segundo, CA, 90245.0, US",'+13105242722,"9am-8pm Mon-Thurs, 10am-5pm Fri & Sat",https://www.elsegundolibrary.org,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish",Information sharing,No. Our services are offered free of cost.,11/24/25 11:41
GetSetUp,1042 Fort Union Blvd,Midvale,UT,84047,'+14085693413,https://www.getsetup.io,Paul Morillo,VP Government Partnerships,paul@getsetup.io,"Other, Other, For Profit Digital Literacy, Workforce Development, and Cybersecurity Training",,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Online educational resources, Workforce development resources",,,,Virtually,https://www.getsetup.io,,,,,,,,,,,,,,,,,,,,,,,,,,Yes. We charge a fee for our services and it’s less than $25.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities, For Profit Digital Literacy, Workforce Development, and Cybersecurity Training","English, Spanish, Mandarin, Cantonese, Hindi","Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Information sharing",Yes. We charge a fee for our services.,11/24/25 11:00
Corona Public Library,650 S. Main Street,Corona,CA,92882,'+19512793728,https://www.coronaca.gov/departments/library,Daniell Whittington,Library Manager,aska.librarian@coronaca.gov,"Library, City Government",,"Digital literacy & skills training, Technical support, Free/Low-cost devices, Public Wi-Fi, Computer center(s), Online educational resources",,Riverside,"Corona (Riverside County.), Eastvale (Riverside County.), Norco (Riverside County.), Riverside (Riverside County.)",In-Person,,Corona Public Library,"650 S. Main Street, Corona, CA, 92882.0, US",,Monday-Friday: 10a-8p; Saturday 10a-2p,https://www.coronaca.gov/departments/library,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish",,No. Our services are offered free of cost.,11/24/25 10:32
Pacific Grove Public Library,550 Central Ave.,Pacific Grove,CA,93950,'+18316485760,https://www.pacificgrovelibrary.org/,Angela Canales,Administrative Analyst,acanales@cityofpacificgrove.org,"Library, City Government",,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,Monterey,Pacific Grove (Monterey County.),In-Person,,Pacific Grove Public Library,,,42 hours per week,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,No,English,Partnership opportunities,No. Our services are offered free of cost.,11/24/25 10:27
Del Norte County Library District,190 Price Mall,Crescent City,CA,95531,'+17074649793,https://delnortecountylibrary.org/,Beth Quetschke,Library Director,bethq@delnortecountylibrary.org,"Library, Special District",,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,Del Norte,,"Virtually, In-Person",https://delnortecountylibrary.org/services-1,Del Norte County Library District | Main Library,"190 Price Mall, Crescent City, CA, 95531.0, US",'+17074649793,Monday through Saturday 10-6,https://delnortecountylibrary.org/services-1,Smith River Library of Del Norte County,"241 W First St, Smith River, CA, 95567.0, US",'+17074878048,Tuesday through Friday 11-3,https://delnortecountylibrary.org/services-1,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",English,"Partnership opportunities, Information sharing",No. Our services are offered free of cost.,11/24/25 10:20
Humboldt County Library,1313 3rd Street,Eureka,CA,95501,'+17072691918,https://humboldtgov.org/2544/Public-Library,Christopher Cooper,Director of Library Services,hcl@co.humboldt.ca.us,"Library, County Government, Regional Broadband Consortia",,"Digital literacy & skills training, Technical support, Public Wi-Fi",,Humboldt,,In-Person,,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish",,No. Our services are offered free of cost.,11/24/25 8:05
Human-I-T,4941 Eastern Ave,Bell,CA,90201,'+18882683921,https://human-i-t.org,Kristina Parks,VP of Impact,grants@human-i-t.org,Community-based Organization / Non-profit (501c3),,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Computer center(s), Online educational resources, Workforce development resources",,,,"Virtually, In-Person",https://human-i-t.org,Through partner organizations and Human-I-T's physical location in California.,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Other, Other, Nationwide","Organizational training, Train-the-trainer, Partnership opportunities, Collective action",No. Our services are offered free of cost.,11/24/25 7:56
Monterey Park Bruggemeyer Library,318 S Ramona Ave,Monterey Park,CA,91754,'+16263071366,https://www.montereypark.ca.gov/1541/Library,Linda Vera,Library Manager,lvera@montereypark.ca.gov,"Library, City Government",,"Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s)",,Los Angeles,Monterey Park (Los Angeles County.),In-Person,,Monterey Park Bruggemeyer Library,"318 S Ramona Ave, Monterey Park, CA, 91754.0, US",'+16263071366,"Monday and Tuesday, 12PM to 8 PM. Wednesday - Saturday, 10AM - 6 PM",https://www.montereypark.ca.gov/1148/Computer-Help-Online-Tutorials,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Ethnic or Minority Communities","English, Spanish, Mandarin",Partnership opportunities,No. Our services are offered free of cost.,11/21/25 16:25
South San Francisco Public Library,901 Civic Campus Way,South San Francisco,CA,94080,'+16508293860,https://www.ssfca.gov/library,Mabel Lee,Management Analyst II,leemab@plsinfo.org,"Library, City Government",,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,San Mateo,,"Virtually, In-Person",https://www.ssfca.gov/Departments/Library/Online-Library,South San Francisco Public Library,"901 Civic Campus Way, South San Francsico, CA, 94080.0, US",'+16508293860,Mondays and Tuesdays - 10:00 a.m. - 8:00 p.m. Wednesdays - 10:00 a.m. - 6:00 p.m. Thursdays - 12:00 p.m. - 8:00 p.m. Fridays - 10:00 a.m. - 6:00 p.m. Saturdays - 10:00 a.m. - 5:00 p.m. Sundays - 2:00 p.m. - 5:00 p.m.,https://www.ssfca.gov/library,Grand Avenue Library,"306 Walnut Avenue, South San Francisco, CA, 94080.0, US",'+16508778530,"Mondays, Tuesdays, Thursdays, Fridays - 10:00 a.m. - 6:00 p.m. Wednesdays - 12:00 p.m. - 8:00 p.m. Saturdays - 10:00 a.m. - 5:00 p.m. Sundays - Closed",https://www.ssfca.gov/library,Gene Mullin Community Learning Center,"520 Tamarack Lane, South San Francisco, CA, 94080.0, US",'+16508778540,Monday and Friday - by appointment only Tuesday through Thursday - 3:00 p.m. - 7:00 p.m. Saturday - by appointment only Sunday - Closed Other Hours - by appointment,https://www.ssfca.gov/Departments/Library/Services/Literacy-Services/Community-Learning-Center,Project Read,"901 Civic Campus Way, 3rd Floor, South San Francisco, CA, 94080.0, US",'+16508293871,Monday - Friday 9:00 a.m. - 5:00 p.m. Saturday - Sunday Closed,https://www.ssfca.gov/Departments/Library/Services/Literacy-Services/Project-Read,,,,,,Yes. We charge a fee for our services and it’s less than $25.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Tagalog, Mandarin, Cantonese, French","Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Information sharing",Yes. We charge a fee for our services.,11/21/25 16:15
City of Calabasas Libraary,200 Civic Center Way,Calabasas,CA,91302,'+18182257616,https://www.cityofcalabasas.com/government/library,Barbara Lockwood,City Librarian,blockwood@calabasaslibrary.org,"Library, City Government",,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,Los Angeles,"Agoura Hills (Los Angeles County.), Calabasas (Los Angeles County.), Hidden Hills (Los Angeles County.), Los Angeles (Los Angeles County.), Westlake Village (Los Angeles County.)","Virtually, In-Person",https://www.cityofcalabasas.com/government/library,1,"200 Civic Center Way, Calabasas, CA, 91302.0, US",'+18182257616,open every day except Mondays.,https://www.cityofcalabasas.com/government/library,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,No,"English, Farsi, Hindi",,No. Our services are offered free of cost.,11/21/25 15:42
Santa Cruz Public Libraries,117 Union St,Santa Cruz,CA,95060,'+18314277700,https://santacruzpl.org,Christopher Platt,Director of Libraries,plattc@santacruzpl.org,Library,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,Santa Cruz,,"Virtually, In-Person",https://santacruzpl.org,Downtown Santa Cruz Public Library,"224 Church St, Santa Cruz, CA, 95060.0, US",'+18314277707,"M-Th 10-6, Fri-Sat 10-5, Sun 1-5",,Aptos Branch library,"7695 Soquel Drive, Aptos, CA, 95003.0, US",'+18314277702,"M-Th 10-6, Fri-Sat 10-5",,Capitola Branch Library,"2005 Wharf Road, Capitola, CA, 95010.0, US",'+18314277705,"M-Th 10-7, Fri-Sat 10-5",,Felton Branch Library,"6121 Gushee St, Felton, CA, 95018.0, US",'+18314277708,"M-th 10-7, Fri - Sat 10-6",,Scotts Valley Branch Library,"251 Kings Village Road, Scotts Valley, CA, 95066.0, US",'+18314277712,"M-Th 10-6, Fri-Sat 10-5",,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",English,Partnership opportunities,No. Our services are offered free of cost.,11/21/25 14:49
