Name of Organization,Organization Address,Organization City,"Organization State
(Drop-down options)",Organization Zip/Postal Code,Business Phone Number,Hours of Operation,Webpage,Name of Point of Contact,Position/Title,Business Email Address,"Type of Organization
(Response options in Question 3 of the Read-Me.)",What digital inclusion service(s) does your entity/organization provide to individuals? (Response options in Question 4 of the Read-Me.),"What is your entity/organization's service area?
(Drop-down options)",Please indicate all the counties in which you provide services.(Response options in Question 6 of the Read-Me).,Please indicate all the cities in which you provide services.,"In-Person or Virtual Services
(Drop-down options)","Does your entity/organization charge for its services?
(Drop-down options)","Does your entity/organization serve individuals at or below 150% of the Federal Poverty Level?
(Drop-down options)","If yes, does your entity/organization serve any additional populations? (Response options in Question 10a of the Read-Me).",What language(s) does your entity/organization provide its services in?,Does your entity/organization provide any of the following support or services to other organizations? (Response options in Question 12 of the Read-Me.),"Does your entity/organization charge for its services?
(Drop-down options)",,,
San Mateo County Libraries - Foster City Library,1000 East Hillsdale Boulevard,Foster City,CA,94404,833-937-7629,,https://smcl.org,Silvia Urena,IT Manager,urena@smcl.org,Library,"Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,San Mateo,Foster City,Both,No,Yes,"Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish",No,,,,
San Mateo County Libraries - Half Moon Bay Library,620 Correas Street,Half Moon Bay,CA,94019,833-937-7630,,https://smcl.org,Silvia Urena,IT Manager,urena@smcl.org,Library,"Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,San Mateo,Half Moon Bay,Both,No,Yes,"Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish",No,,,,
San Mateo County Libraries - Millbrae Library,1 Library Avenue,Millbrae,CA,94030,833-937-7631,,https://smcl.org,Silvia Urena,IT Manager,urena@smcl.org,Library,"Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,San Mateo,Millbrae,Both,No,Yes,"Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish",No,,,,
San Mateo County Libraries - North Fair Oaks Library,2510 Middlefiled Road,Redwood City,CA,94063,833-937-7632,,https://smcl.org,Silvia Urena,IT Manager,urena@smcl.org,Library,"Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,San Mateo,Redwood City,Both,No,Yes,"Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish",No,,,,
San Mateo County Libraries - Pacifica-Sanchez Library,1111 Terra Nova Boulevard,Pacifica,CA,94044,833-937-7633,,https://smcl.org,Silvia Urena,IT Manager,urena@smcl.org,Library,"Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,San Mateo,Pacifica,Both,No,Yes,"Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish",No,,,,
San Mateo County Libraries - Pacifica-Sharp Park Library,104 Hilton Way,Pacifica,CA,94044,833-937-7634,,https://smcl.org,Silvia Urena,IT Manager,urena@smcl.org,Library,"Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,San Mateo,Pacifica,Both,No,Yes,"Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish",No,,,,
San Mateo County Libraries - Portola Valley Library,765 Portola Road,Portola Valley,CA,94028,833-937-7635,,https://smcl.org,Silvia Urena,IT Manager,urena@smcl.org,Library,"Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,San Mateo,Portola Valley,Both,No,Yes,"Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish",No,,,,
San Mateo County Libraries - San Carlos Library,610 Elm Street,San Carlos,CA,94070,833-937-7636,,https://smcl.org,Silvia Urena,IT Manager,urena@smcl.org,Library,"Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,San Mateo,San Carlos,Both,No,Yes,"Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish",No,,,,
San Mateo County Libraries - Woodside Library,3140 Woodside Road,Woodside,CA,94062,833-937-7637,,https://smcl.org,Silvia Urena,IT Manager,urena@smcl.org,Library,"Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,San Mateo,Woodside,Both,No,Yes,"Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish",No,,,,
Santa Clara County Library District,1370 Dell Ave,Campbell,CA,95008,(408) 293-2326,,https://sccld.org,Marlene Iwamoto-Rocchild,Deputy County Librarian,virtual_lib@LIB.SCCGOV.ORG,"Library, County Government","Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Santa Clara,Campbell,Both,No,Yes,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish",Information sharing,No,,,
Santa Clara County Library District - Cupertino Library,10800 Torre Ave,Cupertino,CA,95014,(408) 446-1677,"M-F 10a-9p, SA-Sa 10a-630p",https://sccld.org/locations/cupertino/,Marlene Iwamoto-Rocchild,Deputy County Librarian,virtual_lib@LIB.SCCGOV.ORG,"Library, County Government","Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Santa Clara,Campbell,Both,No,Yes,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish",Information sharing,No,,,
Santa Clara County Library District - Gilroy Library,350 W Sixth St,Gilroy,CA,95020,(408) 842-8207,"M-W 1p-9p, Th-Ss 10a-6p, Su 1p-5p",https://sccld.org/locations/gilroy/,Marlene Iwamoto-Rocchild,Deputy County Librarian,virtual_lib@LIB.SCCGOV.ORG,"Library, County Government","Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Santa Clara,Campbell,Both,No,Yes,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish",Information sharing,No,,,
Santa Clara County Library District - Los Altos Library,13 S San Antonio Road,Los Altos,CA,94022,(650) 948-7683,"M-Th 10a-9p, F-Su 10a-7p",https://sccld.org/locations/losaltos/,Marlene Iwamoto-Rocchild,Deputy County Librarian,virtual_lib@LIB.SCCGOV.ORG,"Library, County Government","Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Santa Clara,Campbell,Both,No,Yes,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish",Information sharing,No,,,
Santa Clara County Library District - Milpitas Library,160 North Main Street,Milpitas,CA,95035,(408) 262-1171,"M-Th 10a-9p, F-Su 10a-7p",https://sccld.org/locations/milpitas/,Marlene Iwamoto-Rocchild,Deputy County Librarian,virtual_lib@LIB.SCCGOV.ORG,"Library, County Government","Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Santa Clara,Campbell,Both,No,Yes,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish",Information sharing,No,,,
Santa Clara County Library District - Morgan Hill Library,660 West Main Ave,Morgan Hill,CA,95037,(408) 779-3196,"M-W 12n-9p, T-Sa 10a-6p, Su 1p-5p",https://sccld.org/locations/morganhill/,Marlene Iwamoto-Rocchild,Deputy County Librarian,virtual_lib@LIB.SCCGOV.ORG,"Library, County Government","Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Santa Clara,Campbell,Both,No,Yes,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish",Information sharing,No,,,
Santa Clara County Library District - Saratoga Library,13650 Saratoga Avenue,Saratoga,CA,95070,(408) 867-6126,"M-T 10a-9p, W-Sa 10a-6p, Su 10a-6p",https://sccld.org/locations/saratoga/,Marlene Iwamoto-Rocchild,Deputy County Librarian,virtual_lib@LIB.SCCGOV.ORG,"Library, County Government","Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Santa Clara,Campbell,Both,No,Yes,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish",Information sharing,No,,,
Santa Cruz Public Libraries,117 Union St,Santa Cruz,CA,95060,8314277700,,https://santacruzpl.org,Christopher Platt,Director of Libraries,plattc@santacruzpl.org,Library,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Santa Cruz,,Both,No,Yes,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",English,Partnership opportunities,No,,,
Santa Cruz Public Libraries - Aptos Branch library,7695 Soquel Drive,Aptos,CA,95003,8314277702,"M-Th 10-6, Fri-Sat 10-5",https://santacruzpl.org,,,,Library,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Santa Cruz,Aptos,,No,Yes,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",English,Partnership opportunities,No,,,
Santa Cruz Public Libraries - Capitola Branch Library,2005 Wharf Road,Capitola,CA,95010,8314277705,"M-Th 10-7, Fri-Sat 10-5",https://santacruzpl.org,,,,Library,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Santa Cruz,Capitola,,No,Yes,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",English,Partnership opportunities,No,,,
Santa Cruz Public Libraries - Downtown Santa Cruz Public Library,224 Church St,Santa Cruz,CA,95060,8314277707,"M-Th 10-6, Fri-Sat 10-5, Sun 1-5",https://santacruzpl.org,,,,Library,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Santa Cruz,Santa Cruz,,No,Yes,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",English,Partnership opportunities,No,,,
Santa Cruz Public Libraries - Felton Branch Library,6121 Gushee St,Felton,CA,95018,8314277708,"M-th 10-7, Fri - Sat 10-6",https://santacruzpl.org,,,,Library,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Santa Cruz,Felton,,No,Yes,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",English,Partnership opportunities,No,,,
Santa Cruz Public Libraries - Scotts Valley Branch Library,251 Kings Village Road,Scotts Valley,CA,95066,8314277712,"M-Th 10-6, Fri-Sat 10-5",https://santacruzpl.org,,,,Library,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Santa Cruz,Scotts Valley,,No,Yes,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",English,Partnership opportunities,No,,,
Self Help for the Elderly - Lady Shaw Senior Center,1483 Mason Street,San Francisco,CA,94133,415-677-7581,W 11:00 AM -1:30 PM,https://www.sfhsa.org/services/disability-aging/community-activities/sf-connected/sf-connected-locations,DAS-OCP SF Connected,DAS OCP /SF Connected Program Team,"""SFConnected,  (HSA) (DSS)"" <sfconnected@sfgov.org>",Other: SF Connected Technology Lab hosted at non-Governmental Organization sites,Public Wi-Fi and Computer center,City-wide or across multiple cities,San Francisco,San Francisco,In-Person,No,Yes,"Aging Individuals (Age 60+),Veterans Individuals with Disabilities , Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","Other- SF Connected computer- interface languages (Chinese, English, Russian, Spanish, Vietnamese)
",Partnership opportunities,,,,
Self Help for the Elderly- Jackie Chan Senior Center,5757 Geary Boulevard,San Francisco,CA,94121,415-677-7571,"M-F 9:30 AM - 10:30 AM, 1:00 AM - 3:00 PM",https://www.sfhsa.org/services/disability-aging/community-activities/sf-connected/sf-connected-locations,DAS-OCP SF Connected,DAS OCP /SF Connected Program Team,"""SFConnected,  (HSA) (DSS)"" <sfconnected@sfgov.org>",Other: SF Connected Technology Lab hosted at non-Governmental Organization sites,Public Wi-Fi and Computer center,City-wide or across multiple cities,San Francisco,San Francisco,In-Person,No,Yes,"Aging Individuals (Age 60+),Veterans Individuals with Disabilities , Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","Other- SF Connected computer- interface languages (Chinese, English, Russian, Spanish, Vietnamese)
",Partnership opportunities,,,,
Self Help for the Elderly- John King Senior Center (JKSC),500 Raymond Avenue,San Francisco,CA,94134,415-239-9919,M-F 9:00 AM - 3:00 PM,https://www.sfhsa.org/services/disability-aging/community-activities/sf-connected/sf-connected-locations,DAS-OCP SF Connected,DAS OCP /SF Connected Program Team,"""SFConnected,  (HSA) (DSS)"" <sfconnected@sfgov.org>",Other: SF Connected Technology Lab hosted at non-Governmental Organization sites,Public Wi-Fi and Computer center,City-wide or across multiple cities,San Francisco,San Francisco,In-Person,No,Yes,"Aging Individuals (Age 60+),Veterans Individuals with Disabilities , Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","Other- SF Connected computer- interface languages (Chinese, English, Russian, Spanish, Vietnamese)
",Partnership opportunities,,,,
SJ Access Tech Hub - Catholic Charities of Santa Clara County,"4 Wabash Avenue, Room 11",San José,CA,95128,(669) 677-0326,Wed 9:30am-12:30pm & 1:00-5:00pm ; Thu 9:30am-12:30pm & 1:00–4:30pm; Fri 9:30am-12:30pm & 1:00–4:30pm,https://www.sjpl.org/tech-hubs/,Leticia Fernandez,Program Manager,digitalinclusion@ccscc.org,Community-based organization/Non-profit (501c3),"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Santa Clara,San José,Both,No,Yes,"Aging Inviduals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Other (LGBTQ+)","English, Spanish","Partnership opportunities, Information sharing, Other : Implement SJ Access Grant Program",,,,
SJ Access Tech Hub - International Children Assistance Network (ICAN),"2410 Senter Rd., 3rd Floor",San José,CA,95111,(408) 831-8061,Mon 10:00am-4:00pm; Wed 10:00am–5:00pm; Fri 10:00am–5:00pm,https://www.sjpl.org/tech-hubs/,Khoa Nguyen,Program Manager,khoa.nguyen@ican2.org,Community-based organization/Non-profit (501c3),"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support,  Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Santa Clara,San José,Both,No,Yes,"Aging Inviduals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Other (LGBTQ+)","English, Vietnamese","Partnership opportunities, Information sharing, Other : Implement SJ Access Grant Program",,,,
SJ Access Tech Hub - International Rescue Committee (IRC),"1210 South Bascom Ave, Suite 227",San José,CA,95128,(408) 277-0255,Mon 3:00–5:00pm; Tue–Thu 9:00am–noon & 2:00pm-5:00pm ,https://www.sjpl.org/tech-hubs/,Kayla Nicholls,Program Manager,SanJose@Rescue.org,Community-based organization/Non-profit (501c3),"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Santa Clara,San José,Both,No,Yes,"Aging Inviduals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Other (LGBTQ+)","English, Spanish, Burmese, Dari, Pashto, Arabic, Ukrainian, Amharic, Tigrinya, French, Swahili, Turkish, Russian, Haitian Creole","Partnership opportunities, Information sharing, Other : Implement SJ Access Grant Program",,,,
SJ Access Tech Hub - Sacred Heart Community Service ,1381 South First Street,San José,CA,95110,(408) 278-2160,Mon 9:00am–2:00pm; Tue 1:00–5:00pm; Wed 9:00am–2:00pm; Thu 1:00–4:00pm; Fri 9:00am–12:00pm,https://www.sjpl.org/tech-hubs/,Myisha Taylor,EJN Organizing Manager,di@sacredheartcs.org,Community-based organization/Non-profit (501c3),"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Santa Clara,San José,Both,No,Yes,"Aging Inviduals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Other (LGBTQ+)","English, Spanish","Partnership opportunities, Information sharing, Other : Implement SJ Access Grant Program",,,,
SJ Access Tech Hub - Sourcewise,901 E. Santa Clara St.,San José,CA,95116,(669) 699-2245,Tue–Thu 8:00am–2:30pm,https://www.sjpl.org/tech-hubs/,Kristine Schaan,Director of Integrated Health Services,tech@mysourcewise.com,Community-based organization/Non-profit (501c3),"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Santa Clara,San José,Both,No,Yes,"Aging Inviduals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Other (LGBTQ+)","English, Spanish, Vietnamese","Partnership opportunities, Information sharing, Other : Implement SJ Access Grant Program",,,,
SJ Access Tech Hub - Vietnamese Voluntary Foundation (VIVO),2072 Lucretia Ave,San José,CA,95122,(408) 532-7755,Mon & Wed 1:00–5:00pm; Tue & Thu 9:00am–5:00pm; Sat 9:00–11:00am,https://www.sjpl.org/tech-hubs/,Bao Trieu,President & CEO,info@vivousa.org,Community-based organization/Non-profit (501c3),"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Santa Clara,San José,Both,No,Yes,"Aging Inviduals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Other (LGBTQ+)","English, Vietnamese","Partnership opportunities, Information sharing, Other : Implement SJ Access Grant Program",,,,
Solano County Library - Dixon Library,230 N. 1st St.,Dixon ,CA,95620,1-866-572-7587,"Mon& Wed 9 AM-6PM, Tues & Thurs 9AM-8PM, Fri & Sat 9AM-5PM",https://solanolibrary.com/,Megan Wong,Acting Director,Mkwong@solanocounty.gov,Library,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Solano County,"Dixon, Vacaville Fairfield, Rio Vista, Suisun, Cordelia, Vallejo",Both,No,Yes,"Aging Individuals (Age 60+), Veterans , Individuals with Disabilities , Individuals with Language Barriers (Limited English Proficiency individuals, etc.) , Ethnic or Minority Communities","English, Spanish","Partnership Opportunities, Information Sharing",No,,,
Solano County Library - Fairfield Civic Center Library,1150 Kentucky Street,Fairfield,CA,94533,1-866-572-7587,"Mon-Thurs 9AM-8PM, Fri&Sat 9AM-5PM, Sun 12PM-5PM",https://solanolibrary.com/,Megan Wong,Acting Director,Mkwong@solanocounty.gov,Library,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Solano County,"Dixon, Vacaville Fairfield, Rio Vista, Suisun, Cordelia, Vallejo",Both,No,Yes,"Aging Individuals (Age 60+), Veterans , Individuals with Disabilities , Individuals with Language Barriers (Limited English Proficiency individuals, etc.) , Ethnic or Minority Communities","English, Spanish","Partnership Opportunities, Information Sharing",No,,,
Solano County Library - Fairfield Cordelia Library,5050 Business Center Drive,Fairfield,CA,94534,1-866-572-7587,"Mon& Wed 9 AM-6PM, Tues & Thurs 9AM-8PM, Fri & Sat 9AM-5PM",https://solanolibrary.com/,Megan Wong,Acting Director,Mkwong@solanocounty.gov,Library,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Solano County,"Dixon, Vacaville Fairfield, Rio Vista, Suisun, Cordelia, Vallejo",Both,No,Yes,"Aging Individuals (Age 60+), Veterans , Individuals with Disabilities , Individuals with Language Barriers (Limited English Proficiency individuals, etc.) , Ethnic or Minority Communities","English, Spanish","Partnership Opportunities, Information Sharing",No,,,
Solano County Library - Law Library,"Hall of Justice, 600 Union Avenue",Fairfield ,CA,94533,1-866-572-7587,Mon-Fri 8:00am - 4:30pm,https://solanolibrary.com/,Megan Wong,Acting Director,Mkwong@solanocounty.gov,Library,Computer center,County-wide or across multiple counties,Solano County,"Dixon, Vacaville Fairfield, Rio Vista, Suisun, Cordelia, Vallejo",In-Person,No,Yes,"Aging Individuals (Age 60+), Veterans , Individuals with Disabilities , Individuals with Language Barriers (Limited English Proficiency individuals, etc.) , Ethnic or Minority Communities",English, Information Sharing,No,,,
Solano County Library - Rio Vista Library,445 South Second Street,Rio Vista,CA,94571,1-866-572-7587,"Mon& Wed 9 AM-6PM, Tues & Thurs 9AM-8PM, Fri & Sat 9AM-5PM",https://solanolibrary.com/,Megan Wong,Acting Director,Mkwong@solanocounty.gov,Library,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Solano County,"Dixon, Vacaville Fairfield, Rio Vista, Suisun, Cordelia, Vallejo",Both,No,Yes,"Aging Individuals (Age 60+), Veterans , Individuals with Disabilities , Individuals with Language Barriers (Limited English Proficiency individuals, etc.) , Ethnic or Minority Communities","English, Spanish","Partnership Opportunities, Information Sharing",No,,,
Solano County Library - Suisun City Library,601 Pintail Drive,Suisun City,CA,94585,1-866-572-7587,"Mon& Wed 9 AM-6PM, Tues & Thurs 9AM-8PM, Fri & Sat 9AM-5PM",https://solanolibrary.com/,Megan Wong,Acting Director,Mkwong@solanocounty.gov,Library,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Solano County,"Dixon, Vacaville Fairfield, Rio Vista, Suisun, Cordelia, Vallejo",Both,No,Yes,"Aging Individuals (Age 60+), Veterans , Individuals with Disabilities , Individuals with Language Barriers (Limited English Proficiency individuals, etc.) , Ethnic or Minority Communities","English, Spanish","Partnership Opportunities, Information Sharing",No,,,
Solano County Library - Vacaville Cultural Center Library,1020 Ulatis Drive,Vacaville,CA,95687,1-866-572-7587,"Mon-Thurs 9AM-8PM, Fri&Sat 9AM-5PM, Sun 12PM-5PM",https://solanolibrary.com/,Megan Wong,Acting Director,Mkwong@solanocounty.gov,Library,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Solano County,"Dixon, Vacaville Fairfield, Rio Vista, Suisun, Cordelia, Vallejo",Both,No,Yes,"Aging Individuals (Age 60+), Veterans , Individuals with Disabilities , Individuals with Language Barriers (Limited English Proficiency individuals, etc.) , Ethnic or Minority Communities","English, Spanish","Partnership Opportunities, Information Sharing",No,,,
Solano County Library - Vacaville Town Square Library,1 Town Square Place,Vacaville,CA,95688,1-866-572-7587,"Mon& Wed 9 AM-6PM, Tues & Thurs 9AM-8PM, Fri & Sat 9AM-5PM",https://solanolibrary.com/,Megan Wong,Acting Director,Mkwong@solanocounty.gov,Library,"Digital navigation, Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Solano County,"Dixon, Vacaville Fairfield, Rio Vista, Suisun, Cordelia, Vallejo",Both,No,Yes,"Aging Individuals (Age 60+), Veterans , Individuals with Disabilities , Individuals with Language Barriers (Limited English Proficiency individuals, etc.) , Ethnic or Minority Communities","English, Spanish","Partnership Opportunities, Information Sharing",No,,,
