Name of Organization,Organization Address: Address Line 1,Organization Address: City,Organization Address: State,Organization Address: Zip/Postal Code,Business Phone No,Webpage,Name of Point of Contact,Position/Title,Business Email Address,Type of Organization,(For ISP only) Do you have a low-cost home internet service offer or subsidy?,4. What digital inclusion service(s) does your entity/organization provide to individuals? Please select all that apply.,5. What is your entity/organization's service area?,6. Please indicate all the counties in which you provide services.,7. Please indicate all the cities in which you provide services,8. How does your entity/organization provide its services? Select all that apply. ,Please provide the website URL where more information about your virtual program / service can be found.,Name of physical location where services are provided.,What is the physical location address where your entity/organization provides in-person services?,Phone Number,Hours of Operation,Program/Service Webpage,Name of physical location where services are provided..1,What is the physical location address where your entity/organization provides in-person services?.1,Phone Number.1,Hours of Operation.1,Program/Service Webpage.1,Name of physical location where services are provided..2,What is the physical location address where your entity/organization provides in-person services?.2,Phone Number.2,Hours of Operation.2,Program/Service Webpage.2,Name of physical location where services are provided..3,What is the physical location address where your entity/organization provides in-person services?.3,Phone Number.3,Hours of Operation.3,Program/Service Webpage.3,Name of physical location where services are provided..4,What is the physical location address where your entity/organization provides in-person services?.4,Phone Number.4,Hours of Operation.4,Program/Service Webpage.4,9. Does your entity/organization charge for its services?,10. To which of the following are your service available?,11. What language(s) does your entity/organization provide its services in? Please select all that apply. ,12. Does your entity/organization provide any of the following supports or services to other organizations? Please select all that apply.,13. Does your entity/organization charge for its services?,Date Submitted
City of Calabasas Libraary,200 Civic Center Way,Calabasas,CA,91302,'+18182257616,https://www.cityofcalabasas.com/government/library,Barbara Lockwood,City Librarian,blockwood@calabasaslibrary.org,City of Calabasas Libraary,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,,Virtually,https://www.cityofcalabasas.com/government/library,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,No,"English, Farsi, Hindi",,No. Our services are offered free of cost.,11/21/2025 15:42
City of Calabasas Libraary,200 Civic Center Way,Calabasas,CA,91302,'+18182257616,https://www.cityofcalabasas.com/government/library,Barbara Lockwood,City Librarian,blockwood@calabasaslibrary.org,City of Calabasas Libraary,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,Los Angeles,,In-Person,,,Calabasas,'+18182257616,open every day except Mondays.,https://www.cityofcalabasas.com/government/library,,Calabasas,'+18182257616,open every day except Mondays.,https://www.cityofcalabasas.com/government/library,,Calabasas,'+18182257616,open every day except Mondays.,https://www.cityofcalabasas.com/government/library,,Calabasas,'+18182257616,open every day except Mondays.,https://www.cityofcalabasas.com/government/library,,Calabasas,'+18182257616,open every day except Mondays.,https://www.cityofcalabasas.com/government/library,No. Our services are offered free of cost.,No,"English, Farsi, Hindi",,No. Our services are offered free of cost.,11/21/2025 15:42
Santa Cruz Public Libraries,117 Union St,Santa Cruz,CA,95060,'+18314277700,https://santacruzpl.org,Christopher Platt,Director of Libraries,plattc@santacruzpl.org,Santa Cruz Public Libraries,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Santa Cruz,,Virtually,https://santacruzpl.org,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",English,Partnership opportunities,No. Our services are offered free of cost.,11/21/2025 14:49
Santa Cruz Public Libraries,117 Union St,Santa Cruz,CA,95060,'+18314277700,https://santacruzpl.org,Christopher Platt,Director of Libraries,plattc@santacruzpl.org,Santa Cruz Public Libraries,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Santa Cruz,,In-Person,,,Santa Cruz,'+18314277707,"M-Th 10-6, Fri-Sat 10-5, Sun 1-5",,,Santa Cruz,'+18314277707,"M-Th 10-6, Fri-Sat 10-5, Sun 1-5",,,Santa Cruz,'+18314277707,"M-Th 10-6, Fri-Sat 10-5, Sun 1-5",,,Santa Cruz,'+18314277707,"M-Th 10-6, Fri-Sat 10-5, Sun 1-5",,,Santa Cruz,'+18314277707,"M-Th 10-6, Fri-Sat 10-5, Sun 1-5",,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",English,Partnership opportunities,No. Our services are offered free of cost.,11/21/2025 14:49
Santa Cruz Public Libraries,117 Union St,Santa Cruz,CA,95060,'+18314277700,https://santacruzpl.org,Christopher Platt,Director of Libraries,plattc@santacruzpl.org,Santa Cruz Public Libraries,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Santa Cruz,,In-Person,,Aptos Branch library,Aptos,'+18314277702,"M-Th 10-6, Fri-Sat 10-5",,Aptos Branch library,Aptos,'+18314277702,"M-Th 10-6, Fri-Sat 10-5",,Aptos Branch library,Aptos,'+18314277702,"M-Th 10-6, Fri-Sat 10-5",,Aptos Branch library,Aptos,'+18314277702,"M-Th 10-6, Fri-Sat 10-5",,Aptos Branch library,Aptos,'+18314277702,"M-Th 10-6, Fri-Sat 10-5",,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",English,Partnership opportunities,No. Our services are offered free of cost.,11/21/2025 14:49
Santa Cruz Public Libraries,117 Union St,Santa Cruz,CA,95060,'+18314277700,https://santacruzpl.org,Christopher Platt,Director of Libraries,plattc@santacruzpl.org,Santa Cruz Public Libraries,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Santa Cruz,,In-Person,,Capitola Branch Library,Capitola,'+18314277705,"M-Th 10-7, Fri-Sat 10-5",,Capitola Branch Library,Capitola,'+18314277705,"M-Th 10-7, Fri-Sat 10-5",,Capitola Branch Library,Capitola,'+18314277705,"M-Th 10-7, Fri-Sat 10-5",,Capitola Branch Library,Capitola,'+18314277705,"M-Th 10-7, Fri-Sat 10-5",,Capitola Branch Library,Capitola,'+18314277705,"M-Th 10-7, Fri-Sat 10-5",,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",English,Partnership opportunities,No. Our services are offered free of cost.,11/21/2025 14:49
Santa Cruz Public Libraries,117 Union St,Santa Cruz,CA,95060,'+18314277700,https://santacruzpl.org,Christopher Platt,Director of Libraries,plattc@santacruzpl.org,Santa Cruz Public Libraries,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Santa Cruz,,In-Person,,Felton Branch Library,Felton,'+18314277708,"M-th 10-7, Fri - Sat 10-6",,Felton Branch Library,Felton,'+18314277708,"M-th 10-7, Fri - Sat 10-6",,Felton Branch Library,Felton,'+18314277708,"M-th 10-7, Fri - Sat 10-6",,Felton Branch Library,Felton,'+18314277708,"M-th 10-7, Fri - Sat 10-6",,Felton Branch Library,Felton,'+18314277708,"M-th 10-7, Fri - Sat 10-6",,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",English,Partnership opportunities,No. Our services are offered free of cost.,11/21/2025 14:49
Santa Cruz Public Libraries,117 Union St,Santa Cruz,CA,95060,'+18314277700,https://santacruzpl.org,Christopher Platt,Director of Libraries,plattc@santacruzpl.org,Santa Cruz Public Libraries,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Santa Cruz,,In-Person,,Scotts Valley Branch Library,Scotts Valley,'+18314277712,"M-Th 10-6, Fri-Sat 10-5",,Scotts Valley Branch Library,Scotts Valley,'+18314277712,"M-Th 10-6, Fri-Sat 10-5",,Scotts Valley Branch Library,Scotts Valley,'+18314277712,"M-Th 10-6, Fri-Sat 10-5",,Scotts Valley Branch Library,Scotts Valley,'+18314277712,"M-Th 10-6, Fri-Sat 10-5",,Scotts Valley Branch Library,Scotts Valley,'+18314277712,"M-Th 10-6, Fri-Sat 10-5",,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",English,Partnership opportunities,No. Our services are offered free of cost.,11/21/2025 14:49
County of San Luis Obispo Public Libraries,995 Palm Street,San Luis Obispo,CA,93403,'+18057815991,https://catalog.slolibrary.org,Andrew Hallmark,Systems Administrator II,ahallmark@slolibrary.org,County of San Luis Obispo Public Libraries,,"Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,San Luis Obispo,,Virtually,https://sanluisobispo.librarycalendar.com/,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Train-the-trainer, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,11/21/2025 11:56
County of San Luis Obispo Public Libraries,995 Palm Street,San Luis Obispo,CA,93403,'+18057815991,https://catalog.slolibrary.org,Andrew Hallmark,Systems Administrator II,ahallmark@slolibrary.org,County of San Luis Obispo Public Libraries,,"Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,San Luis Obispo,,In-Person,,,San Luis Obispo,'+18057815991,Sunday Closed Monday Closed Tuesday 10:00 AM - 6:00 PM Wednesday 10:00 AM - 6:00 PM Thursday 9:00 AM - 5:00 PM Friday 1:00 PM - 5:00 PM Saturday 9:00 AM - 5:00 PM,https://catalog.slolibrary.org/san-luis-obispo-library,,San Luis Obispo,'+18057815991,Sunday Closed Monday Closed Tuesday 10:00 AM - 6:00 PM Wednesday 10:00 AM - 6:00 PM Thursday 9:00 AM - 5:00 PM Friday 1:00 PM - 5:00 PM Saturday 9:00 AM - 5:00 PM,https://catalog.slolibrary.org/san-luis-obispo-library,,San Luis Obispo,'+18057815991,Sunday Closed Monday Closed Tuesday 10:00 AM - 6:00 PM Wednesday 10:00 AM - 6:00 PM Thursday 9:00 AM - 5:00 PM Friday 1:00 PM - 5:00 PM Saturday 9:00 AM - 5:00 PM,https://catalog.slolibrary.org/san-luis-obispo-library,,San Luis Obispo,'+18057815991,Sunday Closed Monday Closed Tuesday 10:00 AM - 6:00 PM Wednesday 10:00 AM - 6:00 PM Thursday 9:00 AM - 5:00 PM Friday 1:00 PM - 5:00 PM Saturday 9:00 AM - 5:00 PM,https://catalog.slolibrary.org/san-luis-obispo-library,,San Luis Obispo,'+18057815991,Sunday Closed Monday Closed Tuesday 10:00 AM - 6:00 PM Wednesday 10:00 AM - 6:00 PM Thursday 9:00 AM - 5:00 PM Friday 1:00 PM - 5:00 PM Saturday 9:00 AM - 5:00 PM,https://catalog.slolibrary.org/san-luis-obispo-library,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Train-the-trainer, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,11/21/2025 11:56
County of San Luis Obispo Public Libraries,995 Palm Street,San Luis Obispo,CA,93403,'+18057815991,https://catalog.slolibrary.org,Andrew Hallmark,Systems Administrator II,ahallmark@slolibrary.org,County of San Luis Obispo Public Libraries,,"Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,San Luis Obispo,,In-Person,,Atascadero Library,Atascadero,'+18054616161,Sunday Closed Monday Closed Tuesday 10:00 AM - 6:00 PM Wednesday 10:00 AM - 6:00 PM Thursday 9:00 AM - 5:00 PM Friday 1:00 PM - 5:00 PM Saturday 9:00 AM - 5:00 PM,https://catalog.slolibrary.org/atascadero-library,Atascadero Library,Atascadero,'+18054616161,Sunday Closed Monday Closed Tuesday 10:00 AM - 6:00 PM Wednesday 10:00 AM - 6:00 PM Thursday 9:00 AM - 5:00 PM Friday 1:00 PM - 5:00 PM Saturday 9:00 AM - 5:00 PM,https://catalog.slolibrary.org/atascadero-library,Atascadero Library,Atascadero,'+18054616161,Sunday Closed Monday Closed Tuesday 10:00 AM - 6:00 PM Wednesday 10:00 AM - 6:00 PM Thursday 9:00 AM - 5:00 PM Friday 1:00 PM - 5:00 PM Saturday 9:00 AM - 5:00 PM,https://catalog.slolibrary.org/atascadero-library,Atascadero Library,Atascadero,'+18054616161,Sunday Closed Monday Closed Tuesday 10:00 AM - 6:00 PM Wednesday 10:00 AM - 6:00 PM Thursday 9:00 AM - 5:00 PM Friday 1:00 PM - 5:00 PM Saturday 9:00 AM - 5:00 PM,https://catalog.slolibrary.org/atascadero-library,Atascadero Library,Atascadero,'+18054616161,Sunday Closed Monday Closed Tuesday 10:00 AM - 6:00 PM Wednesday 10:00 AM - 6:00 PM Thursday 9:00 AM - 5:00 PM Friday 1:00 PM - 5:00 PM Saturday 9:00 AM - 5:00 PM,https://catalog.slolibrary.org/atascadero-library,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Train-the-trainer, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,11/21/2025 11:56
County of San Luis Obispo Public Libraries,995 Palm Street,San Luis Obispo,CA,93403,'+18057815991,https://catalog.slolibrary.org,Andrew Hallmark,Systems Administrator II,ahallmark@slolibrary.org,County of San Luis Obispo Public Libraries,,"Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,San Luis Obispo,,In-Person,,Arroyo Grande Library,Arroyo Grande,'+18054137161,Currently closed for remodel. Temp site hours (limited services): Sunday Closed Monday Closed Tuesday 1:00 PM - 6:00 PM Wednesday 1:00 PM - 6:00 PM Thursday Closed Friday 1:00 PM - 5:00 PM Saturday 1:00 PM - 5:00 PM,https://catalog.slolibrary.org/arroyo-grande-library,Arroyo Grande Library,Arroyo Grande,'+18054137161,Currently closed for remodel. Temp site hours (limited services): Sunday Closed Monday Closed Tuesday 1:00 PM - 6:00 PM Wednesday 1:00 PM - 6:00 PM Thursday Closed Friday 1:00 PM - 5:00 PM Saturday 1:00 PM - 5:00 PM,https://catalog.slolibrary.org/arroyo-grande-library,Arroyo Grande Library,Arroyo Grande,'+18054137161,Currently closed for remodel. Temp site hours (limited services): Sunday Closed Monday Closed Tuesday 1:00 PM - 6:00 PM Wednesday 1:00 PM - 6:00 PM Thursday Closed Friday 1:00 PM - 5:00 PM Saturday 1:00 PM - 5:00 PM,https://catalog.slolibrary.org/arroyo-grande-library,Arroyo Grande Library,Arroyo Grande,'+18054137161,Currently closed for remodel. Temp site hours (limited services): Sunday Closed Monday Closed Tuesday 1:00 PM - 6:00 PM Wednesday 1:00 PM - 6:00 PM Thursday Closed Friday 1:00 PM - 5:00 PM Saturday 1:00 PM - 5:00 PM,https://catalog.slolibrary.org/arroyo-grande-library,Arroyo Grande Library,Arroyo Grande,'+18054137161,Currently closed for remodel. Temp site hours (limited services): Sunday Closed Monday Closed Tuesday 1:00 PM - 6:00 PM Wednesday 1:00 PM - 6:00 PM Thursday Closed Friday 1:00 PM - 5:00 PM Saturday 1:00 PM - 5:00 PM,https://catalog.slolibrary.org/arroyo-grande-library,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Train-the-trainer, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,11/21/2025 11:56
County of San Luis Obispo Public Libraries,995 Palm Street,San Luis Obispo,CA,93403,'+18057815991,https://catalog.slolibrary.org,Andrew Hallmark,Systems Administrator II,ahallmark@slolibrary.org,County of San Luis Obispo Public Libraries,,"Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,San Luis Obispo,,In-Person,,Morro Bay Library,Morro Bay,'+18057726394,Sunday Closed Monday Closed Tuesday 10:00 AM - 6:00 PM Wednesday 10:00 AM - 6:00 PM Thursday 9:00 AM - 5:00 PM Friday 1:00 PM - 5:00 PM Saturday 9:00 AM - 1:00 PM,https://catalog.slolibrary.org/morro-bay-library,Morro Bay Library,Morro Bay,'+18057726394,Sunday Closed Monday Closed Tuesday 10:00 AM - 6:00 PM Wednesday 10:00 AM - 6:00 PM Thursday 9:00 AM - 5:00 PM Friday 1:00 PM - 5:00 PM Saturday 9:00 AM - 1:00 PM,https://catalog.slolibrary.org/morro-bay-library,Morro Bay Library,Morro Bay,'+18057726394,Sunday Closed Monday Closed Tuesday 10:00 AM - 6:00 PM Wednesday 10:00 AM - 6:00 PM Thursday 9:00 AM - 5:00 PM Friday 1:00 PM - 5:00 PM Saturday 9:00 AM - 1:00 PM,https://catalog.slolibrary.org/morro-bay-library,Morro Bay Library,Morro Bay,'+18057726394,Sunday Closed Monday Closed Tuesday 10:00 AM - 6:00 PM Wednesday 10:00 AM - 6:00 PM Thursday 9:00 AM - 5:00 PM Friday 1:00 PM - 5:00 PM Saturday 9:00 AM - 1:00 PM,https://catalog.slolibrary.org/morro-bay-library,Morro Bay Library,Morro Bay,'+18057726394,Sunday Closed Monday Closed Tuesday 10:00 AM - 6:00 PM Wednesday 10:00 AM - 6:00 PM Thursday 9:00 AM - 5:00 PM Friday 1:00 PM - 5:00 PM Saturday 9:00 AM - 1:00 PM,https://catalog.slolibrary.org/morro-bay-library,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Train-the-trainer, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,11/21/2025 11:56
County of San Luis Obispo Public Libraries,995 Palm Street,San Luis Obispo,CA,93403,'+18057815991,https://catalog.slolibrary.org,Andrew Hallmark,Systems Administrator II,ahallmark@slolibrary.org,County of San Luis Obispo Public Libraries,,"Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,San Luis Obispo,,In-Person,,Nipomo Library,Nipomo,'+18059293994,Sunday Closed Monday Closed Tuesday 10:00 AM - 6:00 PM Wednesday 10:00 AM - 6:00 PM Thursday 9:00 AM - 5:00 PM Friday 1:00 PM - 5:00 PM Saturday 9:00 AM - 5:00 PM,https://catalog.slolibrary.org/nipomo-library,Nipomo Library,Nipomo,'+18059293994,Sunday Closed Monday Closed Tuesday 10:00 AM - 6:00 PM Wednesday 10:00 AM - 6:00 PM Thursday 9:00 AM - 5:00 PM Friday 1:00 PM - 5:00 PM Saturday 9:00 AM - 5:00 PM,https://catalog.slolibrary.org/nipomo-library,Nipomo Library,Nipomo,'+18059293994,Sunday Closed Monday Closed Tuesday 10:00 AM - 6:00 PM Wednesday 10:00 AM - 6:00 PM Thursday 9:00 AM - 5:00 PM Friday 1:00 PM - 5:00 PM Saturday 9:00 AM - 5:00 PM,https://catalog.slolibrary.org/nipomo-library,Nipomo Library,Nipomo,'+18059293994,Sunday Closed Monday Closed Tuesday 10:00 AM - 6:00 PM Wednesday 10:00 AM - 6:00 PM Thursday 9:00 AM - 5:00 PM Friday 1:00 PM - 5:00 PM Saturday 9:00 AM - 5:00 PM,https://catalog.slolibrary.org/nipomo-library,Nipomo Library,Nipomo,'+18059293994,Sunday Closed Monday Closed Tuesday 10:00 AM - 6:00 PM Wednesday 10:00 AM - 6:00 PM Thursday 9:00 AM - 5:00 PM Friday 1:00 PM - 5:00 PM Saturday 9:00 AM - 5:00 PM,https://catalog.slolibrary.org/nipomo-library,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Train-the-trainer, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,11/21/2025 11:56
Ventura County Library,5600 Everglades St.,Ventura,CA,93003,'+18057013242,https://www.library.venturacounty.gov,Amanda Armitage,Technology Engagement Manager,amanda.armitage@venturacounty.gov,Ventura County Library,,"Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Ventura,,Virtually,https://www.library.venturacounty.gov,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Korean, Japanese, French","Train-the-trainer, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,11/21/2025 11:19
Ventura County Library,5600 Everglades St.,Ventura,CA,93003,'+18057013242,https://www.library.venturacounty.gov,Amanda Armitage,Technology Engagement Manager,amanda.armitage@venturacounty.gov,Ventura County Library,,"Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Ventura,,In-Person,,,,,,https://www.library.venturacounty.gov/library-services,,,,,https://www.library.venturacounty.gov/library-services,,,,,https://www.library.venturacounty.gov/library-services,,,,,https://www.library.venturacounty.gov/library-services,,,,,https://www.library.venturacounty.gov/library-services,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Korean, Japanese, French","Train-the-trainer, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,11/21/2025 11:19
Redwood City Public Library,1044 Middlefield Road,Redwood City,CA,94063,'+16507807035,https://www.redwoodcity.org/departments/library,Sarah LaTorra,Division Manger of Customer Experience,slatorra@redwoodcity.org,Redwood City Public Library,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,San Mateo,,In-Person,,,,'+16507807020,"M-Th 10am-8pm, F-Sa 10am-5pm, Su 12pm-5pm",https://www.redwoodcity.org/departments/library,,,'+16507807020,"M-Th 10am-8pm, F-Sa 10am-5pm, Su 12pm-5pm",https://www.redwoodcity.org/departments/library,,,'+16507807020,"M-Th 10am-8pm, F-Sa 10am-5pm, Su 12pm-5pm",https://www.redwoodcity.org/departments/library,,,'+16507807020,"M-Th 10am-8pm, F-Sa 10am-5pm, Su 12pm-5pm",https://www.redwoodcity.org/departments/library,,,'+16507807020,"M-Th 10am-8pm, F-Sa 10am-5pm, Su 12pm-5pm",https://www.redwoodcity.org/departments/library,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish","Digital equity grant writing, Partnership opportunities",No. Our services are offered free of cost.,11/21/2025 11:14
Redwood City Public Library,1044 Middlefield Road,Redwood City,CA,94063,'+16507807035,https://www.redwoodcity.org/departments/library,Sarah LaTorra,Division Manger of Customer Experience,slatorra@redwoodcity.org,Redwood City Public Library,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",City-wide or across multiple cities,San Mateo,,In-Person,,Redwood Shores Branch Library,Redwood City,'+16507805740,"M-Th 10am-8pm, F Closed, Sa 10am-5pm, Su 12pm-5pm",https://www.redwoodcity.org/departments/library,Redwood Shores Branch Library,Redwood City,'+16507805740,"M-Th 10am-8pm, F Closed, Sa 10am-5pm, Su 12pm-5pm",https://www.redwoodcity.org/departments/library,Redwood Shores Branch Library,Redwood City,'+16507805740,"M-Th 10am-8pm, F Closed, Sa 10am-5pm, Su 12pm-5pm",https://www.redwoodcity.org/departments/library,Redwood Shores Branch Library,Redwood City,'+16507805740,"M-Th 10am-8pm, F Closed, Sa 10am-5pm, Su 12pm-5pm",https://www.redwoodcity.org/departments/library,Redwood Shores Branch Library,Redwood City,'+16507805740,"M-Th 10am-8pm, F Closed, Sa 10am-5pm, Su 12pm-5pm",https://www.redwoodcity.org/departments/library,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish","Digital equity grant writing, Partnership opportunities",No. Our services are offered free of cost.,11/21/2025 11:14
